	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
CRO_T119218	83.15411859	0.515039283	0.257335238	2.001433175	0.045345728	0.999941141
CRO_T141131	273.3253858	0.556545132	0.278871328	1.995705822	0.045965953	0.999941141
CRO_T117322	171.8848967	-0.387651546	0.194485267	-1.993218056	0.046237575	0.999941141
CRO_T136612	20.06654876	1.053772405	0.528983393	1.992070866	0.046363283	0.999941141
CRO_T125691	57.93469084	-0.656024049	0.32946606	-1.99117338	0.046461829	0.999941141
CRO_T128653	2.035357055	3.795296313	1.916169648	1.980668213	0.047628494	0.999941141
CRO_T104937	32.80482819	0.725375247	0.366228813	1.980661329	0.047629266	0.999941141
CRO_T117263	117.4255879	-0.420377363	0.212799275	-1.975464265	0.048215486	0.999941141
CRO_T118651	3.285224367	4.740439073	2.400237192	1.974987759	0.048269537	0.999941141
CRO_T136496	28.00146157	1.102453849	0.558525632	1.973864378	0.048397166	0.999941141
CRO_T104091	7.882894543	2.021050982	1.024443556	1.972828049	0.048515156	0.999941141
CRO_T132080	6.060179785	6.386647471	3.24516422	1.968050625	0.049062213	0.999941141
CRO_T136944	43.14594737	-0.584700512	0.297609585	-1.964656188	0.049454044	0.999941141
CRO_T102920	17.14745965	-1.511211084	0.769754168	-1.963238587	0.049618458	0.999941141
