target_id 	 Ck_1 	 CK_2 	 CK_3 	 ET_1 	 ET_2 	 ET_3 	 MJ_1 	 MJ_2 	 MJ_3 
CRO_T100220	27	23	28	21	25	20	24	23	24
CRO_T100221	14	12	16	11	14	12	18	17	12
CRO_T100222	20	23	17	19	18	19	24	21	23
CRO_T100224	4	3	3	4	3	3	3	5	4
CRO_T100225	0	0	0	0	0	0	0	0	0
CRO_T100227	0	0	0	0	0	0	0	0	0
CRO_T100228	0	0	0	0	0	0	0	0	0
CRO_T100229	0	0	0	0	0	0	0	0	0
CRO_T100230	0	0	0	0	0	0	0	0	0
CRO_T100232	0	0	0	0	0	0	0	0	0
CRO_T100233	9	13	8	10	8	13	9	9	11
CRO_T100235	206	215	189	200	179	242	219	198	229
CRO_T100236	0	0	0	0	0	0	0	0	0
CRO_T100237	0	0	0	0	0	0	0	0	0
CRO_T100238	0	0	0	0	0	0	0	0	0
CRO_T100240	0	0	0	0	0	0	0	0	0
CRO_T100241	0	0	0	0	0	0	0	0	0
CRO_T100242	0	0	0	0	0	0	0	0	0
CRO_T100244	0	0	0	0	0	0	0	0	0
CRO_T100245	0	0	0	0	0	0	0	0	0
CRO_T100246	0	0	0	0	0	0	0	0	0
CRO_T100249	0	0	0	0	0	0	0	0	0
CRO_T100251	35	31	43	38	32	36	45	46	38
CRO_T100252	4	5	4	5	4	8	5	3	4
CRO_T100253	0	0	0	0	0	0	0	0	0
CRO_T100254	0	0	0	0	0	0	0	0	0
CRO_T100256	0	0	0	0	0	0	0	0	0
CRO_T100257	0	0	0	0	0	0	0	0	0
CRO_T100258	0	0	0	0	0	0	0	0	0
CRO_T100259	0	0	0	0	0	0	0	0	0
CRO_T100260	0	0	0	0	0	0	0	0	0
CRO_T100261	0	0	0	0	0	0	0	0	0
CRO_T100262	0	0	0	0	0	0	0	0	0
CRO_T100263	0	0	0	0	0	0	0	0	0
CRO_T100265	0	0	0	0	0	0	0	0	0
CRO_T100266	0	0	0	0	0	0	0	0	0
CRO_T100267	0	0	0	0	0	0	0	0	0
CRO_T100269	0	0	0	1	0	17	0	0	0
CRO_T100270	0	0	0	0	0	0	0	0	0
CRO_T100271	0	0	0	0	0	0	0	0	0
CRO_T100274	0	0	0	0	0	0	0	0	0
CRO_T100275	0	0	0	0	0	0	0	0	0
CRO_T100276	0	0	1	4	1	46	0	0	0
CRO_T100277	3	3	2	5	3	4	3	2	3
CRO_T100278	130	128	143	148	118	150	139	138	144
CRO_T100281	0	0	0	0	0	0	0	0	0
CRO_T100284	20	18	22	19	23	19	16	15	19
CRO_T100286	1	1	1	1	2	2	1	3	2
CRO_T100287	1	1	1	1	1	0	2	1	0
CRO_T100288	2	4	5	4	4	3	2	5	2
CRO_T100289	0	0	0	0	0	0	0	0	0
CRO_T100290	0	0	0	0	0	0	0	0	0
CRO_T100291	0	0	0	0	0	0	0	0	0
CRO_T100292	0	0	0	0	0	0	0	0	0
CRO_T100294	0	0	0	0	0	0	0	0	0
CRO_T100295	0	0	1	0	0	0	0	0	0
CRO_T100296	0	0	0	0	0	0	0	0	0
CRO_T100297	0	0	0	0	0	0	0	0	0
CRO_T100298	0	0	0	0	0	0	0	0	0
CRO_T100299	0	0	0	0	0	0	0	0	0
CRO_T100300	0	0	0	0	0	0	0	0	0
CRO_T100301	0	0	0	0	0	0	0	0	0
CRO_T100302	5	5	7	7	4	6	6	4	5
CRO_T100304	8	7	10	8	10	7	6	9	7
CRO_T100305	0	0	0	0	0	0	0	0	0
CRO_T100306	0	0	0	0	0	0	0	0	0
CRO_T100307	0	0	0	0	0	0	0	0	0
CRO_T100309	0	0	0	1	0	0	0	1	0
CRO_T100310	0	0	0	0	0	0	0	0	0
CRO_T100311	0	0	0	0	0	0	0	0	0
CRO_T100312	0	0	0	0	0	0	0	0	0
CRO_T100313	0	0	0	0	0	0	0	0	0
CRO_T100314	0	0	0	0	0	0	0	0	0
CRO_T100315	0	0	0	0	0	0	0	0	0
CRO_T100316	0	0	0	0	0	0	0	0	0
CRO_T100317	15	12	15	20	13	14	10	10	9
CRO_T100318	0	0	0	0	1	0	0	0	0
CRO_T100319	0	0	0	0	0	0	0	0	0
CRO_T100320	0	0	0	0	0	0	0	0	0
CRO_T100322	3	3	2	4	2	3	3	4	3
CRO_T100323	246	260	198	236	199	215	196	162	203
CRO_T100325	0	0	0	0	0	0	0	0	0
CRO_T100326	0	0	0	0	0	0	0	0	0
CRO_T100327	13	13	17	15	14	15	14	15	15
CRO_T100329	0	0	0	0	0	0	0	0	0
CRO_T100330	0	0	0	0	0	0	0	0	0
CRO_T100331	2	3	3	3	3	3	2	1	2
CRO_T100334	0	0	0	0	0	0	0	0	0
CRO_T100335	0	0	0	0	0	0	0	0	0
CRO_T100336	2	0	3	4	1	2	2	2	2
CRO_T100337	1	1	1	2	1	1	1	1	1
CRO_T100338	4	3	4	3	3	4	3	4	2
CRO_T100339	8	7	6	6	7	8	7	5	7
CRO_T100342	12	15	14	12	11	18	16	12	13
CRO_T100345	0	0	0	0	0	0	0	0	0
CRO_T100346	0	0	0	0	0	0	0	0	0
CRO_T100347	0	0	0	0	0	0	0	0	0
CRO_T100349	0	0	0	0	0	0	0	0	0
CRO_T100351	0	0	0	0	0	0	0	0	0
CRO_T100352	0	0	0	0	0	0	0	0	0
CRO_T100353	0	0	0	0	0	0	0	0	0
CRO_T100354	0	0	0	0	0	0	0	0	0
CRO_T100355	0	0	0	0	0	0	0	0	0
CRO_T100358	0	0	0	0	0	0	0	0	0
CRO_T100359	0	0	0	0	0	0	0	0	0
CRO_T100360	0	1	1	2	1	2	0	1	0
CRO_T100362	0	0	0	0	0	0	0	0	0
CRO_T100363	0	0	0	0	0	0	0	0	0
CRO_T100364	0	0	0	0	0	0	0	0	0
CRO_T100365	0	0	0	0	0	0	0	0	0
CRO_T100366	0	0	0	0	0	0	0	0	0
CRO_T100368	0	0	0	0	0	0	0	0	0
CRO_T100370	0	0	0	0	0	0	0	0	0
CRO_T100371	0	0	0	0	0	0	0	0	0
CRO_T100372	0	0	0	0	0	0	0	0	0
CRO_T100373	0	0	0	0	0	0	0	0	0
CRO_T100375	0	0	0	1	0	1	1	0	1
CRO_T100376	0	0	0	0	0	0	0	0	0
CRO_T100377	0	0	0	0	0	0	0	0	0
CRO_T100378	0	0	0	0	0	0	0	0	0
CRO_T100379	0	0	0	0	0	0	0	0	0
CRO_T100380	0	0	0	0	0	0	0	0	0
CRO_T100381	0	0	0	0	0	0	0	0	0
CRO_T100382	2	1	1	2	1	1	1	1	2
CRO_T100383	0	0	0	0	0	0	0	0	0
CRO_T100384	0	0	0	0	0	1	0	0	0
CRO_T100385	0	0	0	0	0	0	0	0	0
CRO_T100388	0	0	0	0	0	0	0	0	0
CRO_T100389	0	0	0	0	0	0	0	0	0
CRO_T100390	0	0	0	0	0	0	0	0	0
CRO_T100391	0	0	0	0	0	0	0	0	0
CRO_T100392	0	0	1	1	0	0	1	1	1
CRO_T100395	4	4	6	7	6	6	4	6	5
CRO_T100396	7	4	9	7	10	9	8	9	7
CRO_T100398	0	0	0	0	0	0	0	0	0
CRO_T100399	0	0	0	0	0	0	0	0	0
CRO_T100400	43	40	54	42	47	44	51	47	47
CRO_T100401	0	0	0	0	0	0	0	0	0
CRO_T100403	17	15	21	17	20	19	19	18	22
CRO_T100404	0	0	0	0	0	0	0	0	0
CRO_T100405	0	0	0	0	0	0	0	0	0
CRO_T100406	0	0	0	0	0	0	0	0	0
CRO_T100407	0	0	0	0	0	0	0	0	0
CRO_T100408	0	0	0	0	0	0	0	0	0
CRO_T100409	13	13	16	14	12	16	13	14	15
CRO_T100410	0	0	0	0	0	1	0	0	1
CRO_T100412	0	0	0	0	0	0	0	0	0
CRO_T100415	0	0	0	0	0	0	0	0	0
CRO_T100416	2	4	2	3	3	3	3	4	3
CRO_T100417	0	0	0	0	0	0	0	0	0
CRO_T100418	0	0	0	0	0	0	0	0	0
CRO_T100419	0	0	0	0	0	0	0	0	0
CRO_T100420	0	0	0	0	0	0	0	0	0
CRO_T100423	0	0	0	0	0	0	0	0	0
CRO_T100424	0	0	0	0	0	0	0	0	0
CRO_T100425	0	0	0	0	0	0	0	0	0
CRO_T100427	0	0	0	0	0	0	0	0	0
CRO_T100428	0	0	0	0	0	0	0	0	0
CRO_T100429	0	0	0	0	0	0	0	0	0
CRO_T100430	0	0	0	0	0	0	0	0	0
CRO_T100431	0	0	0	0	0	0	0	0	0
CRO_T100432	0	0	0	0	0	0	0	0	0
CRO_T100433	0	0	0	0	0	0	0	0	0
CRO_T100435	0	0	0	0	0	0	0	0	0
CRO_T100436	0	0	0	0	0	0	0	0	0
CRO_T100437	22	17	21	24	21	18	19	21	24
CRO_T100438	33	33	34	35	32	40	37	36	37
CRO_T100439	8	8	11	10	9	10	9	9	8
CRO_T100440	0	0	0	0	0	0	0	0	0
CRO_T100441	0	0	0	0	0	0	0	0	0
CRO_T100443	0	0	0	0	0	0	0	0	0
CRO_T100445	9	6	13	10	10	9	8	11	8
CRO_T100446	17	17	15	14	16	19	14	11	13
CRO_T100447	11	11	15	14	13	11	10	12	9
CRO_T100448	0	0	0	0	0	0	0	0	0
CRO_T100449	9	10	12	11	10	10	11	12	12
CRO_T100450	0	0	0	0	0	0	0	0	0
CRO_T100451	4	2	3	2	3	2	3	4	3
CRO_T100452	0	0	0	0	0	0	0	0	0
CRO_T100453	1	1	2	3	1	3	1	1	1
CRO_T100455	0	0	0	0	1	0	0	0	0
CRO_T100457	0	0	0	0	0	0	0	0	0
CRO_T100459	0	0	0	0	0	0	0	0	0
CRO_T100460	0	0	0	0	0	0	0	0	0
CRO_T100463	30	32	30	32	31	35	32	33	30
CRO_T100464	39	36	39	32	39	41	38	46	40
CRO_T100467	0	0	0	0	0	0	0	0	0
CRO_T100469	0	0	0	0	0	0	0	0	0
CRO_T100470	0	0	0	0	0	0	0	0	0
CRO_T100471	0	0	0	0	0	0	0	0	0
CRO_T100472	0	0	0	0	0	0	0	0	0
CRO_T100473	7	7	9	6	7	9	6	6	6
CRO_T100474	0	0	0	0	0	0	0	0	0
CRO_T100475	0	0	0	0	0	0	0	0	0
CRO_T100476	40	46	36	44	39	48	44	37	49
CRO_T100478	0	0	0	0	0	0	0	0	0
CRO_T100479	0	0	0	0	0	0	0	0	0
CRO_T100480	0	0	0	0	0	0	0	0	0
CRO_T100482	53	56	49	55	47	61	57	47	54
CRO_T100483	18	18	18	16	16	20	23	19	23
CRO_T100484	0	0	0	0	0	0	0	0	0
CRO_T100485	0	0	0	0	0	0	0	0	0
CRO_T100486	0	0	0	0	0	0	0	0	0
CRO_T100488	3	5	5	4	4	11	5	3	6
CRO_T100489	0	0	0	0	0	0	0	0	0
CRO_T100491	1	1	1	2	2	1	1	1	1
CRO_T100493	2	2	4	2	4	4	2	3	3
CRO_T100494	0	0	0	0	0	0	0	0	0
CRO_T100495	0	0	0	0	0	0	0	0	0
CRO_T100496	0	0	0	0	0	0	0	0	0
CRO_T100497	0	0	0	0	0	0	0	0	0
