target_id 	 SRR5133628 	 SRR5133629 	 SRR5133630 	        SRR5133631 	 SRR5133632 	 SRR5133633 	 SRR5133634 	 SRR5133635 	 SRR5133636 
CL1013.Contig4	475	490	458	633	535	385	141	669	444
CL1013.Contig5	0	0	0	0	0	0	0	10	0
CL1014.Contig1	9	11	11	11	13	21	11	13	12
CL1014.Contig2	17	17	6	22	16	16	18	14	21
CL1014.Contig3	7	6	7	7	4	8	8	12	4
CL1014.Contig4	8	13	15	8	14	13	9	15	13
CL1015.Contig1	117	118	116	69	86	97	71	75	119
CL1015.Contig2	48	32	25	26	27	19	25	25	30
CL1016.Contig1	55	48	76	38	88	73	39	63	52
CL1016.Contig2	35	19	28	25	49	28	12	30	27
CL1017.Contig1	323	334	340	285	316	319	288	295	328
CL1017.Contig10	1	10	15	9	22	26	8	30	0
CL1017.Contig11	33	16	47	30	43	41	15	14	8
CL1017.Contig12	0	0	0	0	0	0	0	0	0
CL1017.Contig13	23	12	45	19	31	35	35	26	23
CL1017.Contig14	0	0	0	0	0	0	0	0	0
CL1017.Contig15	57	78	37	7	62	26	42	12	59
CL1017.Contig16	0	0	0	0	0	0	0	0	0
CL1017.Contig17	0	0	0	0	0	0	0	0	0
CL1017.Contig18	31	53	32	39	18	37	21	39	77
CL1017.Contig19	60	46	36	67	35	17	22	48	56
CL1017.Contig2	29	57	49	30	72	27	20	56	36
CL1017.Contig20	40	12	31	22	16	48	46	23	14
CL1017.Contig21	145	113	73	66	72	75	124	65	123
CL1017.Contig3	0	0	0	0	0	0	0	0	0
CL1017.Contig4	14	12	0	0	5	0	0	0	16
CL1017.Contig5	139	121	144	143	133	116	139	127	106
CL1017.Contig6	37	12	25	33	2	51	43	16	27
CL1017.Contig7	28	33	23	34	27	35	35	43	48
CL1017.Contig8	0	0	0	0	0	0	0	0	0
CL1017.Contig9	0	0	0	0	0	0	0	0	0
CL1018.Contig1	20	24	23	23	13	10	35	19	26
CL1018.Contig2	34	47	17	13	50	31	20	24	35
CL1018.Contig3	28	4	50	40	21	41	31	28	17
CL1019.Contig1	44	46	52	52	57	69	46	62	56
CL1019.Contig2	30	40	29	29	27	22	21	35	28
CL102.Contig1	24	35	26	34	28	28	33	41	40
CL102.Contig2	73	82	69	79	70	61	73	66	81
CL102.Contig3	20	21	10	15	23	13	18	20	4
CL102.Contig4	7	4	26	3	5	15	10	13	4
CL1020.Contig1	19	19	3	8	14	0	12	9	29
CL1020.Contig2	0	0	1	1	1	1	0	1	2
CL1020.Contig3	33	34	40	44	31	50	22	21	23
CL1020.Contig4	26	23	33	17	16	17	33	18	20
CL1020.Contig5	12	16	17	11	19	18	16	19	16
CL1021.Contig1	8	5	10	5	37	4	4	8	2
CL1021.Contig2	3	0	2	1	13	0	0	0	0
CL1021.Contig3	0	2	4	3	31	0	0	0	3
CL1021.Contig4	16	6	21	7	56	33	5	22	4
CL1021.Contig5	30	0	25	7	95	11	7	22	3
CL1022.Contig1	8	17	8	3	10	4	8	4	9
CL1022.Contig2	32	28	29	32	36	32	42	42	25
CL1023.Contig1	54	58	73	65	82	80	78	69	50
CL1023.Contig2	170	176	175	218	164	145	178	218	187
CL1023.Contig3	170	172	164	154	171	142	179	167	173
CL1023.Contig4	22	3	19	22	0	0	14	25	6
CL1023.Contig5	32	31	43	39	50	42	38	44	32
CL1023.Contig6	190	187	181	188	167	170	204	220	208
CL1023.Contig7	58	38	71	82	55	107	47	73	33
CL1024.Contig1	54	29	54	36	74	60	60	66	31
CL1024.Contig2	0	23	33	37	8	32	9	20	28
CL1024.Contig3	43	49	39	48	54	42	48	44	36
CL1024.Contig4	0	0	0	2	2	7	0	3	2
CL1025.Contig1	0	7	14	15	16	8	1	14	9
CL1025.Contig2	11	17	0	0	0	9	15	0	1
CL1025.Contig3	25	33	15	17	24	32	50	24	27
CL1025.Contig4	12	0	37	42	32	20	10	28	16
CL1026.Contig1	77	35	38	7	59	83	8	39	32
CL1026.Contig2	126	19	112	3	104	76	1	118	15
