target_id 	 Ck_1 	 CK_2 	 ET_1 	 ET_2 	 ET_3 
CRO_T100362	0	0	0	0	0
CRO_T100363	0	0	0	0	0
CRO_T100364	0	0	0	0	0
CRO_T100365	0	0	0	0	0
CRO_T100366	0	0	0	0	0
CRO_T100368	0	0	0	0	0
CRO_T100370	0	0	0	0	0
CRO_T100371	0	0	0	0	0
CRO_T100372	0	0	0	0	0
CRO_T100373	0	0	0	0	0
CRO_T100375	0	0	1	0	1
CRO_T100376	0	0	0	0	0
CRO_T100377	0	0	0	0	0
CRO_T100378	0	0	0	0	0
CRO_T100379	0	0	0	0	0
CRO_T100380	0	0	0	0	0
CRO_T100381	0	0	0	0	0
CRO_T100382	2	1	2	1	1
CRO_T100383	0	0	0	0	0
CRO_T100384	0	0	0	0	1
CRO_T100385	0	0	0	0	0
CRO_T100388	0	0	0	0	0
CRO_T100389	0	0	0	0	0
CRO_T100390	0	0	0	0	0
CRO_T100391	0	0	0	0	0
CRO_T100392	0	0	1	0	0
CRO_T100395	4	4	7	6	6
CRO_T100396	7	4	7	10	9
CRO_T100398	0	0	0	0	0
CRO_T100399	0	0	0	0	0
CRO_T100400	43	40	42	47	44
CRO_T100401	0	0	0	0	0
CRO_T100403	17	15	17	20	19
CRO_T100404	0	0	0	0	0
CRO_T100405	0	0	0	0	0
CRO_T100406	0	0	0	0	0
CRO_T100407	0	0	0	0	0
CRO_T100408	0	0	0	0	0
CRO_T100409	13	13	14	12	16
CRO_T100410	0	0	0	0	1
CRO_T100412	0	0	0	0	0
CRO_T100415	0	0	0	0	0
CRO_T100416	2	4	3	3	3
CRO_T100417	0	0	0	0	0
CRO_T100418	0	0	0	0	0
CRO_T100419	0	0	0	0	0
CRO_T100420	0	0	0	0	0
CRO_T100423	0	0	0	0	0
CRO_T100424	0	0	0	0	0
CRO_T100425	0	0	0	0	0
CRO_T100427	0	0	0	0	0
CRO_T100428	0	0	0	0	0
CRO_T100429	0	0	0	0	0
CRO_T100430	0	0	0	0	0
CRO_T100431	0	0	0	0	0
CRO_T100432	0	0	0	0	0
CRO_T100433	0	0	0	0	0
CRO_T100435	0	0	0	0	0
CRO_T100436	0	0	0	0	0
CRO_T100437	22	17	24	21	18
CRO_T100438	33	33	35	32	40
CRO_T100439	8	8	10	9	10
CRO_T100440	0	0	0	0	0
CRO_T100441	0	0	0	0	0
CRO_T100443	0	0	0	0	0
CRO_T100445	9	6	10	10	9
CRO_T100446	17	17	14	16	19
CRO_T100447	11	11	14	13	11
CRO_T100448	0	0	0	0	0
CRO_T100449	9	10	11	10	10
CRO_T100450	0	0	0	0	0
CRO_T100451	4	2	2	3	2
CRO_T100452	0	0	0	0	0
CRO_T100453	1	1	3	1	3
CRO_T100455	0	0	0	1	0
CRO_T100457	0	0	0	0	0
CRO_T100459	0	0	0	0	0
CRO_T100460	0	0	0	0	0
CRO_T100463	30	32	32	31	35
CRO_T100464	39	36	32	39	41
CRO_T100467	0	0	0	0	0
CRO_T100469	0	0	0	0	0
CRO_T100470	0	0	0	0	0
CRO_T100471	0	0	0	0	0
CRO_T100472	0	0	0	0	0
CRO_T100473	7	7	6	7	9
CRO_T100474	0	0	0	0	0
CRO_T100475	0	0	0	0	0
CRO_T100476	40	46	44	39	48
CRO_T100478	0	0	0	0	0
CRO_T100479	0	0	0	0	0
CRO_T100480	0	0	0	0	0
CRO_T100482	53	56	55	47	61
CRO_T100483	18	18	16	16	20
CRO_T100484	0	0	0	0	0
CRO_T100485	0	0	0	0	0
CRO_T100486	0	0	0	0	0
CRO_T100488	3	5	4	4	11
CRO_T100489	0	0	0	0	0
CRO_T100491	1	1	2	2	1
CRO_T100493	2	2	2	4	4
CRO_T100494	0	0	0	0	0
CRO_T100495	0	0	0	0	0
CRO_T100496	0	0	0	0	0
CRO_T100497	0	0	0	0	0
CRO_T100498	0	0	0	0	0
CRO_T100499	0	0	0	0	0
CRO_T100500	0	0	0	0	0
CRO_T100501	0	0	0	0	0
CRO_T100502	0	0	0	0	0
CRO_T100503	15	12	20	19	17
CRO_T100504	4	3	5	4	3
CRO_T100505	183	164	196	160	182
CRO_T100506	3	1	3	2	1
CRO_T100508	4	2	4	2	4
CRO_T100509	133	111	127	113	131
CRO_T100510	60	59	69	67	66
CRO_T100512	0	0	0	0	0
CRO_T100515	0	0	0	0	0
CRO_T100517	0	0	0	0	0
CRO_T100518	0	0	0	0	0
CRO_T100519	0	0	0	0	0
CRO_T100521	0	0	0	0	0
CRO_T100522	0	0	0	0	0
CRO_T100523	75	61	63	61	58
CRO_T100524	154	156	140	147	171
CRO_T100525	0	0	0	0	0
CRO_T100526	0	0	0	0	0
CRO_T100527	92	78	100	87	89
CRO_T100528	43	48	45	39	45
CRO_T100529	152	127	126	129	124
CRO_T100530	56	62	56	55	80
CRO_T100531	0	0	0	0	0
CRO_T100533	20	18	21	21	20
CRO_T100535	0	0	0	0	0
CRO_T100536	0	0	0	0	0
CRO_T100537	0	0	0	0	0
CRO_T100538	0	0	0	0	0
CRO_T100539	0	0	0	0	0
CRO_T100540	0	0	0	0	0
CRO_T100541	0	0	0	0	0
CRO_T100542	0	0	0	0	0
CRO_T100543	0	0	0	0	0
CRO_T100544	0	0	0	0	0
CRO_T100545	0	0	0	0	0
CRO_T100546	0	0	0	0	0
CRO_T100547	0	0	0	0	0
CRO_T100549	148	145	193	163	143
CRO_T100550	15	12	17	17	20
CRO_T100551	0	0	0	0	0
CRO_T100552	0	0	0	0	0
CRO_T100553	53	56	67	60	69
CRO_T100554	33	30	35	36	29
CRO_T100555	0	0	0	0	0
CRO_T100556	12	10	14	14	11
CRO_T100557	0	0	0	0	0
CRO_T100559	0	0	0	0	0
CRO_T100560	0	0	0	0	0
CRO_T100561	0	0	0	0	0
CRO_T100563	0	0	0	0	0
CRO_T100564	0	0	0	0	0
CRO_T100566	51	52	64	58	62
CRO_T100568	0	0	0	0	0
CRO_T100569	0	0	0	0	0
CRO_T100570	0	0	0	0	0
CRO_T100572	0	0	0	0	0
CRO_T100573	0	0	0	0	0
CRO_T100574	0	0	0	0	0
CRO_T100575	1	1	3	1	1
CRO_T100577	0	0	0	0	0
CRO_T100578	12	12	14	13	12
CRO_T100579	3	3	2	2	2
CRO_T100580	6	7	8	8	8
CRO_T100581	0	0	0	0	0
CRO_T100582	0	0	0	0	0
CRO_T100583	410	485	603	561	597
CRO_T100584	3	6	11	9	9
CRO_T100585	43	40	39	37	35
CRO_T100587	0	0	0	0	0
CRO_T100588	0	0	0	0	0
CRO_T100589	2	1	0	0	1
CRO_T100590	6	6	5	4	6
CRO_T100591	0	0	0	0	0
CRO_T100592	0	0	0	0	0
CRO_T100593	17	15	16	16	15
CRO_T100594	0	0	0	0	0
CRO_T100595	0	0	0	0	0
CRO_T100596	0	0	0	0	0
CRO_T100600	31	30	41	40	33
CRO_T100601	6	5	6	4	5
CRO_T100602	0	0	0	0	0
CRO_T100604	0	0	0	0	0
CRO_T100605	0	0	0	0	0
CRO_T100607	0	0	0	0	0
CRO_T100608	0	2	0	1	2
CRO_T100610	2	1	3	0	3
CRO_T100611	3	5	6	5	7
CRO_T100612	0	0	0	0	0
CRO_T100613	0	0	0	0	0
CRO_T100614	0	0	0	0	0
CRO_T100615	0	0	0	0	0
CRO_T100616	0	0	0	0	0
CRO_T100617	0	0	0	0	0
CRO_T100618	0	0	0	0	0
CRO_T100619	15	13	19	19	14
CRO_T100620	0	0	0	0	0
CRO_T100621	0	0	0	0	0
CRO_T100622	0	0	0	0	0
CRO_T100623	13	11	11	12	10
CRO_T100624	20	21	20	25	27
CRO_T100626	4	3	4	4	5
CRO_T100629	13	11	13	10	8
CRO_T100630	0	0	0	0	0
CRO_T100631	0	0	0	0	0
CRO_T100632	0	0	0	0	0
CRO_T100633	0	0	0	0	0
CRO_T100634	0	0	0	0	0
CRO_T100635	0	0	0	0	0
CRO_T100636	0	0	0	0	0
CRO_T100637	0	0	1	0	0
CRO_T100638	0	0	0	0	0
CRO_T100639	11	9	10	13	9
CRO_T100640	1	1	2	1	1
CRO_T100643	0	0	0	0	0
CRO_T100644	0	0	0	0	0
CRO_T100646	0	0	1	1	0
CRO_T100648	0	0	0	0	0
CRO_T100651	6	4	6	7	5
CRO_T100652	2	2	1	1	3
CRO_T100653	0	0	0	0	0
CRO_T100655	0	0	0	0	0
CRO_T100657	0	0	0	0	0
CRO_T100658	5	6	5	2	9
CRO_T100659	0	0	0	0	0
CRO_T100660	0	0	0	0	0
CRO_T100661	0	0	0	0	0
CRO_T100662	0	0	0	0	0
CRO_T100664	0	0	0	0	0
CRO_T100665	0	0	0	0	0
CRO_T100666	6	3	3	4	6
CRO_T100667	0	0	0	0	0
CRO_T100668	0	0	0	0	0
CRO_T100669	0	0	0	0	0
CRO_T100670	11	10	13	13	14
CRO_T100671	0	1	1	1	2
CRO_T100672	0	0	0	0	0
CRO_T100673	4	4	4	3	5
CRO_T100674	0	0	0	0	0
CRO_T100675	15	14	14	13	13
CRO_T100676	12	11	14	15	13
CRO_T100677	0	0	0	0	0
CRO_T100678	0	0	0	0	0
CRO_T100680	37	40	41	36	58
CRO_T100681	0	0	0	0	0
CRO_T100683	0	0	0	0	0
CRO_T100684	0	0	0	0	0
CRO_T100685	0	0	0	0	0
CRO_T100687	0	0	0	0	0
CRO_T100688	0	0	0	0	0
CRO_T100690	22	21	28	25	27
CRO_T100691	0	0	0	0	0
CRO_T100693	0	0	0	0	0
CRO_T100694	0	0	0	0	0
CRO_T100695	0	0	0	0	0
CRO_T100696	0	0	0	0	0
CRO_T100697	0	0	0	0	0
CRO_T100699	0	0	0	0	0
CRO_T100700	0	0	0	0	0
CRO_T100701	0	0	0	0	0
CRO_T100702	1	2	3	2	1
CRO_T100703	0	0	0	0	0
CRO_T100704	0	0	0	0	0
CRO_T100705	32	35	31	32	35
CRO_T100706	30	33	33	33	33
CRO_T100707	3	4	2	2	2
CRO_T100708	23	16	17	18	18
CRO_T100709	19	21	21	25	21
CRO_T100710	7	7	8	8	8
CRO_T100712	0	0	0	0	0
CRO_T100713	35	23	51	40	31
CRO_T100714	2	2	2	2	3
CRO_T100715	26	24	22	20	23
CRO_T100717	0	0	0	0	0
CRO_T100719	0	0	0	0	0
CRO_T100720	0	0	0	0	0
CRO_T100721	0	0	0	0	0
CRO_T100722	1	1	1	1	1
CRO_T100723	0	0	0	0	0
CRO_T100725	0	0	0	0	0
CRO_T100726	0	0	0	0	0
CRO_T100727	0	0	0	0	0
CRO_T100728	0	0	0	0	0
CRO_T100729	0	0	0	0	0
CRO_T100730	0	0	0	0	0
CRO_T100731	0	0	0	0	0
CRO_T100732	0	0	0	0	0
CRO_T100733	245	249	244	232	220
CRO_T100734	17	16	33	28	19
CRO_T100735	0	0	0	0	0
CRO_T100736	15	15	19	17	19
CRO_T100737	0	0	0	0	0
CRO_T100738	4	6	6	3	5
CRO_T100740	0	0	0	0	0
CRO_T100741	0	0	0	0	0
CRO_T100743	0	0	0	1	0
CRO_T100744	1	1	1	1	1
CRO_T100745	63	54	59	48	50
CRO_T100746	5	5	8	8	7
CRO_T100747	0	0	0	0	0
CRO_T100748	0	0	0	0	0
CRO_T100750	0	0	0	0	0
CRO_T100751	2	1	1	1	1
CRO_T100752	0	0	0	0	0
CRO_T100753	4	3	4	4	3
CRO_T100755	0	0	0	0	0
CRO_T100756	0	0	0	0	0
CRO_T100757	17	15	12	12	14
CRO_T100758	1	1	1	1	0
CRO_T100759	202	229	215	184	192
CRO_T100760	40	41	45	40	44
CRO_T100761	4	3	2	1	2
CRO_T100762	1	0	2	2	1
CRO_T100763	6	1	7	4	4
CRO_T100764	6	4	9	4	6
CRO_T100767	0	0	0	0	0
CRO_T100768	1	1	1	1	1
CRO_T100769	0	0	0	0	0
CRO_T100770	0	0	0	0	0
CRO_T100773	11	9	11	10	11
CRO_T100774	289	299	243	261	261
CRO_T100775	1	0	0	0	1
CRO_T100776	43	42	49	44	45
CRO_T100777	0	0	0	0	0
CRO_T100778	0	1	0	0	0
CRO_T100779	0	0	0	0	0
CRO_T100780	0	0	0	0	0
CRO_T100781	1	1	1	2	2
CRO_T100782	13	12	15	16	14
CRO_T100783	0	0	0	0	0
CRO_T100784	0	0	0	0	0
CRO_T100785	0	0	0	0	0
CRO_T100786	0	0	0	0	0
CRO_T100787	0	0	0	0	0
CRO_T100788	0	0	0	0	0
CRO_T100789	0	0	0	0	0
CRO_T100790	0	0	0	0	0
CRO_T100791	0	0	0	0	0
CRO_T100793	1	2	4	3	2
CRO_T100794	64	59	60	57	43
CRO_T100796	0	0	0	0	0
CRO_T100797	0	0	0	0	0
CRO_T100798	0	0	1	0	0
