baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	
CRO_T127405	60.63928198	-0.014017889	0.323686501	-0.043306993	0.965456817	0.999986415
CRO_T125238	10.38401274	-0.031023683	0.71653758	-0.043296659	0.965465054	0.999986415
CRO_T138516	72.17367066	-0.013900404	0.3214706	-0.043240048	0.965510182	0.999986415
CRO_T130829	31.36618187	-0.019030738	0.441521542	-0.043102626	0.965619726	0.999986415
CRO_T124395	23.96263039	-0.020993978	0.487195292	-0.043091505	0.965628591	0.999986415
CRO_T136994	71.1340369	-0.013028887	0.302500461	-0.043070636	0.965645226	0.999986415
CRO_T114408	14.5609204	-0.026342534	0.612509729	-0.043007535	0.965695527	0.999986415
CRO_T121459	12.99804407	-0.027800797	0.646819796	-0.042980746	0.965716882	0.999986415
CRO_T132420	10.38538678	-0.030803501	0.718164626	-0.042891977	0.965787644	0.999986415
CRO_T101830	14.56229444	-0.026180754	0.611711625	-0.042799178	0.96586162	0.999986415
CRO_T103410	66.95764148	-0.013280778	0.310364862	-0.042790854	0.965868254	0.999986415
CRO_T108984	17.1947527	-0.024114373	0.565835227	-0.042617306	0.9660066	0.999986415
CRO_T131713	65.4713315	-0.013860621	0.325284501	-0.042610764	0.966011815	0.999986415
CRO_T140860	38.1119122	-0.016947048	0.397799413	-0.042601994	0.966018806	0.999986415
CRO_T110637	83.075671	-0.020150069	0.473908374	-0.042518914	0.966085034	0.999986415
CRO_T124193	27.13073309	-0.019531907	0.460519517	-0.042412766	0.966169652	0.999986415
CRO_T124994	11.94551503	-0.029139528	0.688634627	-0.042314932	0.966247642	0.999986415
CRO_T132137	28.17175755	-0.019031742	0.450286308	-0.04226587	0.966286753	0.999986415
CRO_T110049	36.55178395	-0.016854086	0.400024143	-0.042132671	0.966392935	0.999986415
CRO_T106270	41.21735165	-0.016605063	0.394115416	-0.042132488	0.966393082	0.999986415
CRO_T133821	7.744172024	-0.03572828	0.848609641	-0.042102137	0.966417276	1
CRO_T128823	64.33067938	-0.013210803	0.314857905	-0.041957983	0.966532193	0.999986415
CRO_T138735	14.58209541	-0.025606248	0.61183705	-0.041851418	0.966617146	0.999986415
CRO_T113592	28.19018448	-0.018812233	0.450736722	-0.041736632	0.966708652	0.999986415
CRO_T133482	18.73456773	-0.022751296	0.54585412	-0.041680176	0.966753657	0.999986415
CRO_T101335	10.37663028	-0.029872183	0.719460899	-0.041520232	0.966881164	0.999986415
CRO_T128515	17.21455367	-0.023615926	0.570105922	-0.041423751	0.966958079	0.999986415
CRO_T138397	7.765347038	-0.034244336	0.828969414	-0.041309529	0.967049136	1
CRO_T100773	10.37800433	-0.029651931	0.718002643	-0.041297802	0.967058485	0.999986415
CRO_T110854	10.37800433	-0.029651931	0.718002643	-0.041297802	0.967058485	0.999986415
CRO_T117304	21.38682697	-0.02109244	0.511263982	-0.041255478	0.967092227	0.999986415
CRO_T116649	17.18874429	-0.023273048	0.565542159	-0.041151747	0.967174921	0.999986415
CRO_T139712	50.70742372	-0.014255041	0.346746669	-0.041110823	0.967207547	0.999986415
CRO_T110969	106.2004427	-0.011370408	0.279887231	-0.040624961	0.967594885	0.999986415
CRO_T113329	14.57471296	-0.024774655	0.610359296	-0.04059028	0.967622533	0.999986415
CRO_T118269	14.57471296	-0.024774655	0.610359296	-0.04059028	0.967622533	0.999986415
CRO_T110987	7.783773968	-0.03344919	0.824452987	-0.040571373	0.967637606	1
CRO_T114773	7.783773968	-0.03344919	0.824452987	-0.040571373	0.967637606	1
CRO_T125660	20.33292389	-0.021753942	0.536271596	-0.040565157	0.967642562	0.999986415
CRO_T112956	46.507967	-0.014476451	0.359792203	-0.04023559	0.967905304	0.999986415
CRO_T134099	38.12381847	-0.015737268	0.392910077	-0.040053104	0.968050789	0.999986415
CRO_T109990	19.83962948	-0.021467122	0.538671756	-0.039851953	0.968211156	0.999986415
CRO_T140337	24.52774623	-0.019309187	0.484660435	-0.039840651	0.968220167	0.999986415
CRO_T107792	11.96068163	-0.026931975	0.676244897	-0.039825771	0.96823203	0.999986415
CRO_T111895	28.20397704	-0.017978178	0.452470485	-0.039733371	0.968305696	0.999986415
CRO_T137886	10.39917934	-0.028619496	0.720754159	-0.039707709	0.968326156	0.999986415
CRO_T100284	19.81382009	-0.021185172	0.534452232	-0.039639038	0.968380904	0.999986415
CRO_T117622	45.5037964	-0.014466909	0.366350422	-0.039489265	0.968500312	0.999986415
CRO_T121230	10.39088295	-0.029895187	0.75748564	-0.039466342	0.968518588	0.999986415
CRO_T116214	28.67421014	-0.017893144	0.455336357	-0.039296541	0.968653965	0.999986415
CRO_T125250	24.57335659	-0.019261041	0.490324397	-0.039282241	0.968665365	0.999986415
CRO_T110629	7.80357494	-0.032390798	0.828576105	-0.039092122	0.968816942	1
CRO_T100905	32.41310419	-0.016646771	0.426117597	-0.039066144	0.968837654	0.999986415
CRO_T106950	5.162360185	-0.040641217	1.040972461	-0.039041587	0.968857232	1
CRO_T124628	78.67523944	-0.013920822	0.357294857	-0.038961719	0.96892091	0.999986415
CRO_T110908	14.56870455	-0.023787801	0.611157125	-0.038922562	0.968952128	0.999986415
CRO_T129588	22.96761798	-0.019362471	0.497514477	-0.038918407	0.968955441	0.999986415
CRO_T116737	21.3734361	-0.019836746	0.511285911	-0.038797755	0.969051634	0.999986415
CRO_T127891	10.37336996	-0.02803571	0.724677539	-0.038687152	0.969139817	0.999986415
CRO_T118256	16.13295492	-0.02276814	0.588845111	-0.038665753	0.969156878	0.999986415
CRO_T138773	85.84455142	-0.010789451	0.279353735	-0.038622899	0.969191045	0.999986415
CRO_T107618	63.83537149	-0.012248683	0.317390497	-0.03859184	0.969215808	0.999986415
CRO_T136756	10.39042284	-0.027693138	0.718745676	-0.038529815	0.96926526	0.999986415
CRO_T113680	27.14681363	-0.017613908	0.458424146	-0.038422732	0.969350637	0.999986415
CRO_T120612	7.777765556	-0.031628495	0.824182386	-0.038375602	0.969388214	1
CRO_T139698	7.777765556	-0.031628495	0.824182386	-0.038375602	0.969388214	1
CRO_T117133	36.597796	-0.015389759	0.402446521	-0.038240507	0.969495924	0.999986415
CRO_T115632	10.39179689	-0.027471229	0.718830349	-0.038216568	0.969515011	0.999986415
CRO_T135380	330.9215221	-0.007153706	0.187356476	-0.038182324	0.969542314	0.999986415
CRO_T112996	31.34026193	-0.016353147	0.428383562	-0.038174076	0.96954889	0.999986415
CRO_T112964	15.08368621	-0.025895138	0.678407021	-0.038170505	0.969551738	0.999986415
CRO_T110379	98.36452108	-0.01020144	0.267881558	-0.038081904	0.96962238	0.999986415
CRO_T138124	70.60846459	-0.011963599	0.314211271	-0.038075016	0.969627871	0.999986415
CRO_T131680	107.9306994	-0.00982481	0.258190057	-0.038052629	0.96964572	0.999986415
CRO_T101151	7.779139598	-0.031334888	0.824266289	-0.038015492	0.96967533	1
CRO_T115177	7.779139598	-0.031334888	0.824266289	-0.038015492	0.96967533	1
CRO_T121170	7.779139598	-0.031334888	0.824266289	-0.038015492	0.96967533	1
CRO_T140882	7.779139598	-0.031334888	0.824266289	-0.038015492	0.96967533	1
CRO_T107143	16.1527559	-0.022224793	0.584827264	-0.03800232	0.969685832	0.999986415
CRO_T128877	61.16160434	-0.012492902	0.328808601	-0.037994449	0.969692108	0.999986415
CRO_T118008	11.95604726	-0.025522219	0.673749639	-0.037880865	0.969782669	0.999986415
CRO_T113286	5.149429422	-0.04020717	1.063415228	-0.037809473	0.969839591	1
CRO_T106191	25.58393729	-0.017766817	0.470543451	-0.03775808	0.969880568	0.999986415
CRO_T101293	10.39317093	-0.027235226	0.722219756	-0.037710442	0.96991855	0.999986415
CRO_T137775	178.1464137	-0.008153977	0.216630585	-0.03764001	0.969974707	0.999986415
CRO_T118790	53.39001616	-0.012957633	0.345352901	-0.037519977	0.970070412	0.999986415
CRO_T121672	5.184909241	-0.037859654	1.009089777	-0.037518618	0.970071496	1
CRO_T121383	7.78051364	-0.031044542	0.828985347	-0.037448843	0.970127129	1
CRO_T104401	18.76215285	-0.020297328	0.5431201	-0.037371713	0.970188627	0.999986415
CRO_T117269	11.97447419	-0.02501132	0.671921853	-0.037223555	0.970306757	0.999986415
CRO_T112670	14.56269614	-0.022794268	0.614053729	-0.037120966	0.970388555	0.999986415
CRO_T134154	31.33425352	-0.01588087	0.428471598	-0.037063998	0.970433978	0.999986415
CRO_T113857	160.9134902	-0.008399667	0.227053132	-0.036994278	0.970489569	0.999986415
CRO_T126959	11.97584823	-0.024815231	0.670805021	-0.03699321	0.97049042	0.999986415
CRO_T139003	11.97584823	-0.024815231	0.670805021	-0.03699321	0.97049042	0.999986415
CRO_T103366	57.06075079	-0.01267191	0.342704878	-0.036976159	0.970504015	0.999986415
CRO_T121740	14.60830649	-0.022635865	0.613333583	-0.036906287	0.970559727	0.999986415
CRO_T106057	18.78057978	-0.019974932	0.542047081	-0.036850917	0.970603876	0.999986415
CRO_T112599	58.05873364	-0.012108349	0.328859046	-0.036819268	0.970629111	0.999986415
CRO_T121405	57.04769283	-0.012322315	0.335630973	-0.036713878	0.970713143	0.999986415
CRO_T107674	16.1296946	-0.021575227	0.589113471	-0.03662321	0.970785437	0.999986415
CRO_T114785	14.58112307	-0.022383059	0.611865535	-0.036581663	0.970818565	0.999986415
CRO_T127681	14.58112307	-0.022383059	0.611865535	-0.036581663	0.970818565	0.999986415
CRO_T127848	35.53044991	-0.014839751	0.407353523	-0.036429663	0.970939763	0.999986415
CRO_T115365	39.20255859	-0.014379463	0.394927599	-0.036410379	0.970955139	0.999986415
CRO_T124202	32.89249549	-0.015352685	0.422477707	-0.036339633	0.971011549	0.999986415
CRO_T132845	40.76217459	-0.013982508	0.384989302	-0.036319212	0.971027831	0.999986415
CRO_T104409	65.41707645	-0.011483463	0.316309018	-0.036304571	0.971039505	0.999986415
CRO_T132232	16.14812153	-0.02117887	0.583836664	-0.036275335	0.971062817	0.999986415
CRO_T134118	16.14812153	-0.02117887	0.583836664	-0.036275335	0.971062817	0.999986415
CRO_T102101	28.74603158	-0.01622322	0.447308102	-0.036268559	0.97106822	0.999986415
CRO_T108381	35.52031938	-0.014620115	0.405597863	-0.036045839	0.971245808	0.999986415
CRO_T120812	22.97402809	-0.017815815	0.495470216	-0.035957388	0.971316336	0.999986415
CRO_T112430	170.2926358	-0.008041286	0.223861517	-0.035920805	0.971345507	0.999986415
CRO_T114938	17.72667671	-0.020691715	0.576855155	-0.035869862	0.971386127	0.999986415
CRO_T118887	32.92934935	-0.014973431	0.42096393	-0.035569391	0.971625715	0.999986415
CRO_T113482	11.96846578	-0.023812415	0.671620252	-0.035455178	0.971716787	0.999986415
CRO_T116762	11.96846578	-0.023812415	0.671620252	-0.035455178	0.971716787	0.999986415
CRO_T120337	11.96846578	-0.023812415	0.671620252	-0.035455178	0.971716787	0.999986415
CRO_T127176	11.99702325	-0.023938621	0.676061671	-0.035408931	0.971753664	0.999986415
CRO_T139739	6.190453881	-0.034371244	0.97126764	-0.035388025	0.971770333	1
CRO_T116099	5.176152746	-0.036069827	1.019842195	-0.035368048	0.971786263	1
CRO_T140678	5.177526787	-0.03556459	1.007656656	-0.035294353	0.971845026	1
CRO_T118800	27.19883409	-0.01621995	0.461107795	-0.035176048	0.971939361	0.999986415
CRO_T136786	7.774505228	-0.029206216	0.834223136	-0.035010076	0.972071706	1
CRO_T112504	14.60367212	-0.02148287	0.614076219	-0.034984045	0.972092464	0.999986415
CRO_T141012	5.178900829	-0.035106543	1.003777118	-0.034974441	0.972100122	1
CRO_T135160	18.79162426	-0.019000607	0.543311101	-0.034971874	0.972102169	0.999986415
CRO_T127738	7.791558116	-0.028744867	0.822499808	-0.034948175	0.972121066	1
CRO_T132882	7.791558116	-0.028744867	0.822499808	-0.034948175	0.972121066	1
CRO_T134469	7.791558116	-0.028744867	0.822499808	-0.034948175	0.972121066	1
CRO_T138526	7.791558116	-0.028744867	0.822499808	-0.034948175	0.972121066	1
CRO_T127407	61.22696353	-0.012140771	0.348119598	-0.034875288	0.972179186	0.999986415
CRO_T126916	24.50371259	-0.01689678	0.48553775	-0.034800138	0.972239111	0.999986415
CRO_T108566	7.792932158	-0.028445738	0.825084059	-0.03447617	0.972497445	1
CRO_T112877	5.180274871	-0.03468515	1.007795703	-0.034416847	0.97254475	1
CRO_T114409	16.159166	-0.020050866	0.583400344	-0.034368965	0.972582931	0.999986415
CRO_T113004	50.21989998	-0.012253811	0.356705101	-0.034352778	0.972595839	0.999986415
CRO_T101223	41.34434333	-0.01305719	0.380525504	-0.034313573	0.972627102	0.999986415
CRO_T114372	17.72616446	-0.019217682	0.563888574	-0.034080638	0.972812848	0.999986415
CRO_T110994	54.93390117	-0.012692309	0.372751212	-0.03405035	0.972837	0.999986415
CRO_T139697	9.357182533	-0.025787057	0.760782469	-0.03389544	0.972960529	0.999986415
CRO_T130468	5.197327759	-0.033953143	1.004539389	-0.033799713	0.973036865	1
CRO_T137792	31.34478576	-0.01451063	0.4302583	-0.033725393	0.97309613	0.999986415
CRO_T115164	168.1815859	-0.007458473	0.22155125	-0.033664776	0.973144468	0.999986415
CRO_T112556	16.17896697	-0.019532063	0.582025633	-0.033558767	0.973229003	0.999986415
CRO_T138809	16.17896697	-0.019532063	0.582025633	-0.033558767	0.973229003	0.999986415
CRO_T108815	22.97494203	-0.016677797	0.497120717	-0.033548788	0.973236961	0.999986415
CRO_T119391	9.358556575	-0.025551147	0.762420465	-0.033513197	0.973265342	0.999986415
CRO_T117982	5.198701801	-0.033514886	1.004609631	-0.033361103	0.973386627	1
CRO_T129835	5.198701801	-0.033514886	1.004609631	-0.033361103	0.973386627	1
CRO_T137052	5.198701801	-0.033514886	1.004609631	-0.033361103	0.973386627	1
CRO_T134211	11.96383141	-0.022421442	0.673061695	-0.033312611	0.973425298	0.999986415
CRO_T133951	6.739029079	-0.031822665	0.956425071	-0.033272512	0.973457274	1
CRO_T133167	28.75518977	-0.014813361	0.445580058	-0.033245116	0.97347912	0.999986415
CRO_T122660	75.90655755	-0.010225504	0.308016544	-0.033197905	0.973516769	0.999986415
CRO_T121321	39.75565761	-0.012777997	0.385789635	-0.03312167	0.973577562	0.999986415
CRO_T124644	11.96520545	-0.022227817	0.674345003	-0.032962085	0.973704823	0.999986415
CRO_T128936	48.66669408	-0.011712343	0.356564401	-0.032847762	0.97379599	0.999986415
CRO_T105004	9.376983505	-0.024880491	0.757679994	-0.03283773	0.97380399	0.999986415
CRO_T127693	80.17338067	-0.009536291	0.290940586	-0.032777453	0.973852058	0.999986415
CRO_T128711	18.80404278	-0.017891759	0.546035823	-0.03276664	0.973860682	0.999986415
CRO_T118007	55.47640955	-0.011022459	0.337647754	-0.032644846	0.973957807	0.999986415
CRO_T130176	16.15453163	-0.019010973	0.583432635	-0.032584692	0.974005777	0.999986415
CRO_T103430	5.170144334	-0.03332458	1.02485707	-0.03251632	0.974060302	1
CRO_T129023	66.54783703	-0.010092405	0.310690559	-0.032483785	0.974086247	0.999986415
CRO_T118376	11.98363238	-0.021729009	0.669975003	-0.032432567	0.974127091	0.999986415
CRO_T127332	11.98363238	-0.021729009	0.669975003	-0.032432567	0.974127091	0.999986415
CRO_T113426	18.80679086	-0.01764848	0.544753307	-0.032397197	0.974155298	0.999986415
CRO_T103324	10.41663392	-0.023487045	0.726514681	-0.032328384	0.974210174	0.999986415
CRO_T129396	16.18446314	-0.018960465	0.588809704	-0.032201345	0.974311483	0.999986415
CRO_T111395	27.16375597	-0.014730887	0.458370355	-0.032137522	0.97436238	0.999986415
CRO_T110675	28.74918136	-0.014299917	0.445320183	-0.03211154	0.9743831	0.999986415
CRO_T100639	10.41800796	-0.023262715	0.726598943	-0.032015894	0.974459375	0.999986415
CRO_T127813	108.4503167	-0.008384703	0.262072605	-0.031993815	0.974476983	0.999986415
CRO_T116221	60.70349986	-0.010432031	0.32625994	-0.031974599	0.974492308	0.999986415
CRO_T100058	22.9716817	-0.015838777	0.495652602	-0.0319554	0.974507619	0.999986415
CRO_T127743	27.16513001	-0.014642366	0.458816885	-0.03191331	0.974541184	0.999986415
CRO_T100438	34.51517643	-0.013150095	0.41231385	-0.031893411	0.974557054	0.999986415
CRO_T130817	94.24690578	-0.008812428	0.276372104	-0.031886096	0.974562887	0.999986415
CRO_T111435	13.56630969	-0.020255823	0.635318589	-0.031882938	0.974565405	0.999986415
CRO_T110668	27.17806077	-0.014750536	0.462820605	-0.031870958	0.974574959	0.999986415
CRO_T131778	20.36503283	-0.016595313	0.52175494	-0.031806719	0.974626188	0.999986415
CRO_T130743	39.76807613	-0.012241835	0.386749405	-0.031653145	0.974748661	0.999986415
CRO_T114733	9.352548164	-0.02402164	0.764223559	-0.031432739	0.974924432	0.999986415
CRO_T107590	37.1457484	-0.012476716	0.397101053	-0.031419499	0.974934991	0.999986415
CRO_T120083	7.805350677	-0.025846744	0.825818764	-0.031298325	0.975031626	1
CRO_T105679	5.191319348	-0.031233201	0.999236424	-0.031257068	0.975064528	1
CRO_T107247	5.191319348	-0.031233201	0.999236424	-0.031257068	0.975064528	1
CRO_T113562	5.191319348	-0.031233201	0.999236424	-0.031257068	0.975064528	1
CRO_T117698	5.191319348	-0.031233201	0.999236424	-0.031257068	0.975064528	1
